,FIPS,Total_population,P_WH,P_AA,P_AI,P_AS,P_NH,P_OR,P_2R,P_Latino,P_native,P_FB,P_citizen,P_non-citizen,P_NoSchool,P_HS_no_degree,P_HS_or_GED,P_some_college,P_college_degree,P_Masters_prof_doc,P_limited_eng,Poverty_rate,MED_HH_income,UE_rate,P_UI,P_Insured,P_UI_under_18,P_UI_18-64,P_UI_65_over,P_any_private_ins,P_any_public_ins,P_Medicare_alone,P_Medicaid_alone,Respiratory HI,NatWalkInd,GINI,SVI_themes_total,SVI_flags
334,49035114600,7043,0.9721709498793127,0.002413744143120829,0.0019877892943348007,0.0028396989919068577,0.010080931421269345,0.008235127076529888,0.0022717591935254864,0.08788868379951725,0.9842396705949169,0.01576032940508306,0.9946335263380879,0.00536647366191216,0.033577769201080666,0.06715553840216133,0.2473948282516403,0.2844461597838672,0.2630258587417985,0.10439984561945195,0.049862763037511436,0.03626943005181347,92472.0,0.040999999999999995,0.067,0.9329999999999999,0.018000000000000002,0.10099999999999999,0.0,0.8640000000000001,0.175,0.102,0.081,0.307760930938546,10.333333334333334,0.3862,0.1887,0.0
335,49035114700,4558,0.6432645897323388,0.005484861781483106,0.01075032909170689,0.06976744186046512,0.023036419482229047,0.19591926283457656,0.051777095217200524,0.3661693725318122,0.757788503729706,0.24221149627029398,0.885736494364555,0.114263505635445,0.09464655427388347,0.06506950606329488,0.33126293995859213,0.22863058266784975,0.24578527062999111,0.03460514640638864,0.23570432357043236,0.08320552147239264,63275.0,0.019,0.188,0.812,0.125,0.243,0.046,0.667,0.203,0.111,0.10300000000000001,0.311665461151814,11.083333334999999,0.3057,0.6895,2.0
336,49035114800,3655,0.8538987688098495,0.0,0.0038303693570451436,0.07824897400820793,0.0019151846785225718,0.007660738714090287,0.05444596443228454,0.03556771545827633,0.9034199726402189,0.09658002735978112,0.9528154327424401,0.047184567257559956,0.012100840336134453,0.010756302521008404,0.09512605042016807,0.20840336134453782,0.2645378151260504,0.40907563025210086,0.044349070100143065,0.10163609320773426,203194.0,0.024,0.004,0.996,0.008,0.005,0.0,0.922,0.201,0.188,0.031,0.250050773723982,7.499999999,0.4237,0.1372,2.0
337,49035115106,13203,0.9187305915322275,0.0012875861546618192,0.0,0.018935090509732636,0.026130424903431038,0.0031053548435961524,0.03181095205635083,0.10482466106187988,0.945542679694009,0.05445732030599106,0.9710230197837758,0.028976980216224166,0.01635855831892539,0.016491554728022342,0.18938688655406305,0.3069557121957707,0.3626812076073946,0.10812608059582392,0.08743076267575628,0.0168943734391068,108750.0,0.032,0.055,0.945,0.057,0.055999999999999994,0.034,0.9079999999999999,0.064,0.043,0.018000000000000002,0.279799305460501,11.0,0.349,0.1509,1.0
338,49035115209,9569,0.8366600480718989,0.015257602675305675,0.0,0.020482809070958303,0.004180165116522102,0.08193123628383321,0.041488138781481866,0.16835615006792767,0.9181732678440798,0.08182673215592016,0.944060773480663,0.05593922651933702,0.014829030006978368,0.03698534542916958,0.23272854152128403,0.3131542219120726,0.28628750872295883,0.11601535240753663,0.07061002430836902,0.03100463056170727,98646.0,0.028999999999999998,0.106,0.894,0.10800000000000001,0.115,0.0,0.802,0.15,0.061,0.094,0.332745772124705,7.0,0.3837,0.5077,1.0
339,49035980000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.833333333,,,
340,49037942000,3767,0.007432970533581099,0.0,0.9455800371648526,0.015396867533846562,0.005309264666843642,0.0015927794000530925,0.024688080700822936,0.024157154234138573,0.9962835147332094,0.0037164852667905496,0.9970884065643197,0.002911593435680254,0.17858508604206502,0.10057361376673041,0.38508604206500957,0.1881453154875717,0.13001912045889102,0.017590822179732315,0.18500430910657856,0.2976878612716763,27716.0,0.233,0.35100000000000003,0.649,0.209,0.494,0.025,0.228,0.449,0.12300000000000001,0.375,0.131371398511342,3.5,0.5091,0.9914,11.0
341,49037942100,2862,0.03878406708595388,0.0,0.9566736547868623,0.001397624039133473,0.0,0.0,0.0031446540880503146,0.009783368273934312,0.9989517819706499,0.0010482180293501049,0.9989528795811519,0.0010471204188481676,0.1524390243902439,0.06910569105691057,0.45477642276422764,0.2108739837398374,0.10264227642276423,0.01016260162601626,0.16673099189502122,0.41447789878283153,25917.0,0.10300000000000001,0.35,0.65,0.255,0.46399999999999997,0.022000000000000002,0.254,0.43200000000000005,0.126,0.363,0.108235564911671,2.5833333335,0.4833,0.9966,10.0
342,49037978100,4131,0.9310094408133623,0.006778019849915275,0.025175502299685307,0.0,0.0038731541999515854,0.0038731541999515854,0.029290728637133865,0.12587751149842652,0.9770031469377874,0.02299685306221254,0.9803037494067395,0.01969625059326056,0.03619441571871768,0.09065839365735953,0.2957600827300931,0.24612202688728024,0.2643915891072044,0.06687349189934505,0.021394611727416798,0.1329449152542373,59750.0,0.031,0.098,0.902,0.06,0.159,0.0,0.705,0.359,0.21100000000000002,0.184,0.093357270683501,7.0,0.3832,0.8199,3.0
343,49037978200,4521,0.7502764875027649,0.0017695200176952002,0.2015040920150409,0.0,0.0008847600088476001,0.0072992700729927005,0.038265870382658704,0.0495465604954656,0.9942490599424906,0.0057509400575094,0.9966931216931217,0.0033068783068783067,0.07417488941816945,0.022116366110922082,0.19734603606668935,0.28819326301463083,0.3001020755358966,0.11806736985369173,0.05820860061772393,0.14867424242424243,63958.0,0.024,0.099,0.9009999999999999,0.065,0.151,0.0,0.654,0.35,0.146,0.22699999999999998,0.106146433894786,10.33333333175,0.4639,0.9262,1.0
344,49039972100,7996,0.9541020510255127,0.003501750875437719,0.002001000500250125,0.006128064032016008,0.002126063031515758,0.012631315657828915,0.01950975487743872,0.030015007503751877,0.9714857428714357,0.028514257128564282,0.9850930146605889,0.014906985339411113,0.044086198387892746,0.051653232439545976,0.3581181115315019,0.2890278006251028,0.20513242309590393,0.05198223392005264,0.017437252311756937,0.12770615422038434,55938.0,0.084,0.11,0.89,0.084,0.165,0.005,0.7120000000000001,0.365,0.244,0.14800000000000002,0.117786584319327,6.111111111166667,0.4279,0.7307,4.0
345,49039972200,3834,0.8510693792383933,0.0002608242044861763,0.03051643192488263,0.003390714658320292,0.0,0.10224308815858112,0.012519561815336464,0.13536776212832552,0.9509650495565989,0.04903495044340115,0.970632911392405,0.029367088607594936,0.10049298445202882,0.07963594994311718,0.2700037921880925,0.33940083428138035,0.17368221463784603,0.03678422449753508,0.07035175879396985,0.1335896203748198,54033.0,0.039,0.161,0.8390000000000001,0.158,0.195,0.0,0.642,0.33,0.15,0.192,0.132723773679503,6.583333333500001,0.3871,0.8542,0.0
346,49039972300,5747,0.7732730120062642,0.028710631633895946,0.010614233513137289,0.007134156951452932,0.002784061249347486,0.14407516965373238,0.03340873499216983,0.198886375500261,0.9263963807203759,0.07360361927962415,0.946163977609483,0.053836022390516956,0.07949977668602054,0.06833407771326486,0.2956677087985708,0.3552925413130862,0.17552478785171952,0.025681107637338097,0.1205893052018916,0.07236126224156691,58787.0,0.04,0.106,0.894,0.07200000000000001,0.145,0.03,0.7659999999999999,0.23800000000000002,0.122,0.12300000000000001,0.129265915689826,6.79166666675,0.3283,0.801,2.0
