STATE,COUNTY,FIPS,RPL_THEMES,F_TOTAL
UTAH,Grand,49019000300,0.6947,1
UTAH,Salt Lake,49035113101,0.6964,1
UTAH,Utah,49049003201,0.6981,1
UTAH,Utah,49049010600,0.6998,1
UTAH,Iron,49021110100,0.7015,2
UTAH,Salt Lake,49035113523,0.7033,4
UTAH,Utah,49049001803,0.705,3
UTAH,Juab,49023010100,0.7067,0
UTAH,Weber,49057201600,0.7084,0
UTAH,Davis,49011125907,0.7101,1
UTAH,Utah,49049000400,0.7118,2
UTAH,Cache,49005001001,0.7136,1
UTAH,Salt Lake,49035102000,0.7153,2
UTAH,Salt Lake,49035101900,0.717,5
UTAH,Box Elder,49003960702,0.7187,3
UTAH,Utah,49049000601,0.7204,1
UTAH,Salt Lake,49035111702,0.7221,0
UTAH,Utah,49049003402,0.7238,0
UTAH,Carbon,49007000200,0.7256,2
UTAH,Salt Lake,49035112920,0.7273,2
UTAH,Weber,49057211100,0.729,0
UTAH,Sanpete,49039972100,0.7307,4
UTAH,Utah,49049002205,0.7324,3
UTAH,Salt Lake,49035102100,0.7341,3
UTAH,Tooele,49045131100,0.7358,1
UTAH,Tooele,49045131002,0.7376,1
UTAH,Utah,49049002204,0.7393,1
UTAH,Duchesne,49013940600,0.741,2
UTAH,Davis,49011125905,0.7427,2
UTAH,Salt Lake,49035112822,0.7444,2
UTAH,Salt Lake,49035103000,0.7461,1
UTAH,Salt Lake,49035104900,0.7479,0
UTAH,Salt Lake,49035111101,0.7496,2
UTAH,Utah,49049002901,0.7513,1
UTAH,Utah,49049003401,0.753,1
UTAH,Salt Lake,49035113907,0.7547,0
UTAH,Utah,49049001402,0.7564,5
UTAH,Utah,49049001106,0.7581,1
UTAH,Utah,49049002500,0.7599,3
UTAH,Utah,49049002207,0.7616,1
UTAH,Weber,49057200500,0.7616,1
UTAH,Utah,49049000509,0.765,1
UTAH,Utah,49049002802,0.7667,5
UTAH,Utah,49049003106,0.7684,2
UTAH,Salt Lake,49035113512,0.7702,4
UTAH,Salt Lake,49035112907,0.7719,1
UTAH,Davis,49011125600,0.7736,8
UTAH,Juab,49023010200,0.7753,1
UTAH,Weber,49057210512,0.777,1
UTAH,Sevier,49041975400,0.7787,1
UTAH,Salt Lake,49035101400,0.7804,6
UTAH,Salt Lake,49035113410,0.7822,2
UTAH,Salt Lake,49035113600,0.7839,4
UTAH,Washington,49053270802,0.7856,3
UTAH,Weber,49057201700,0.7873,7
UTAH,Salt Lake,49035113407,0.789,5
UTAH,Utah,49049003403,0.7907,1
UTAH,Salt Lake,49035113904,0.7925,0
UTAH,Sevier,49041975300,0.7942,0
UTAH,Salt Lake,49035102300,0.7959,4
UTAH,Salt Lake,49035113513,0.7976,0
UTAH,Weber,49057200600,0.7993,1
UTAH,Sanpete,49039972300,0.801,2
UTAH,Salt Lake,49035113413,0.8027,1
UTAH,Salt Lake,49035113801,0.8045,5
UTAH,Tooele,49045130900,0.8062,3
UTAH,Utah,49049000703,0.8079,1
UTAH,Washington,49053270901,0.8096,1
UTAH,Davis,49011126001,0.8113,1
UTAH,Duchesne,49013940300,0.813,3
UTAH,Salt Lake,49035112700,0.8148,0
UTAH,Washington,49053270100,0.8165,3
UTAH,Cache,49005000300,0.8182,1
UTAH,San Juan,49037978100,0.8199,3
UTAH,Salt Lake,49035112904,0.8216,0
UTAH,Uintah,49047968402,0.8233,0
UTAH,Emery,49015976500,0.825,3
UTAH,Salt Lake,49035111905,0.8268,3
UTAH,Salt Lake,49035113408,0.8285,2
UTAH,Salt Lake,49035102801,0.8302,6
UTAH,Salt Lake,49035112501,0.8319,1
UTAH,Utah,49049000802,0.8336,3
