CensusTract,State,County,Urban,Low_access
49049003204,Utah,Utah County,1,1
49049003205,Utah,Utah County,1,1
49049003300,Utah,Utah County,1,1
49049003401,Utah,Utah County,1,1
49049003402,Utah,Utah County,1,1
49049003403,Utah,Utah County,1,1
49049010103,Utah,Utah County,1,1
49049010104,Utah,Utah County,1,1
49049010105,Utah,Utah County,1,1
49049010106,Utah,Utah County,1,1
49049010107,Utah,Utah County,0,0
49049010108,Utah,Utah County,1,1
49049010109,Utah,Utah County,1,1
49049010110,Utah,Utah County,1,1
49049010111,Utah,Utah County,0,0
49049010112,Utah,Utah County,1,1
49049010113,Utah,Utah County,1,1
49049010208,Utah,Utah County,1,1
49049010209,Utah,Utah County,1,1
49049010210,Utah,Utah County,1,1
49049010211,Utah,Utah County,1,1
49049010212,Utah,Utah County,0,0
49049010213,Utah,Utah County,1,1
49049010214,Utah,Utah County,1,1
49049010215,Utah,Utah County,1,1
49049010216,Utah,Utah County,1,1
49049010217,Utah,Utah County,0,0
49049010218,Utah,Utah County,1,1
49049010219,Utah,Utah County,1,1
49049010220,Utah,Utah County,1,1
49049010303,Utah,Utah County,1,1
49049010304,Utah,Utah County,0,0
49049010305,Utah,Utah County,1,1
49049010404,Utah,Utah County,1,1
49049010405,Utah,Utah County,1,1
49049010406,Utah,Utah County,1,1
49049010407,Utah,Utah County,1,1
49049010408,Utah,Utah County,1,1
49049010409,Utah,Utah County,1,1
49049010410,Utah,Utah County,1,1
49049010411,Utah,Utah County,0,0
49049010503,Utah,Utah County,0,0
49049010504,Utah,Utah County,0,0
49049010505,Utah,Utah County,1,1
49049010506,Utah,Utah County,1,1
49049010600,Utah,Utah County,0,0
49049010700,Utah,Utah County,1,1
49049010900,Utah,Utah County,0,0
49051940500,Utah,Wasatch County,1,1
49051960100,Utah,Wasatch County,1,1
49051960200,Utah,Wasatch County,1,1
49051960400,Utah,Wasatch County,1,1
49053270100,Utah,Washington County,0,0
49053270200,Utah,Washington County,0,0
49053270300,Utah,Washington County,1,1
49053270400,Utah,Washington County,1,1
49053270500,Utah,Washington County,1,1
49053270600,Utah,Washington County,1,1
49053270700,Utah,Washington County,1,1
49053270801,Utah,Washington County,1,1
49053270802,Utah,Washington County,0,0
49053270901,Utah,Washington County,1,1
49053270902,Utah,Washington County,1,1
49053271000,Utah,Washington County,1,1
49053271100,Utah,Washington County,1,1
49053271200,Utah,Washington County,1,1
49053271300,Utah,Washington County,1,1
49053271400,Utah,Washington County,1,1
49053271500,Utah,Washington County,1,1
49053271600,Utah,Washington County,1,1
49053271701,Utah,Washington County,1,1
49053271702,Utah,Washington County,0,0
49053271800,Utah,Washington County,1,1
49055979100,Utah,Wayne County,0,0
49057200100,Utah,Weber County,1,1
49057200202,Utah,Weber County,1,1
49057200203,Utah,Weber County,1,1
49057200204,Utah,Weber County,1,1
49057200300,Utah,Weber County,1,1
49057200400,Utah,Weber County,1,0
49057200500,Utah,Weber County,1,1
49057200600,Utah,Weber County,1,1
49057200700,Utah,Weber County,1,1
49057200800,Utah,Weber County,1,1
49057200900,Utah,Weber County,1,1
49057201100,Utah,Weber County,1,1
49057201200,Utah,Weber County,1,0
49057201301,Utah,Weber County,1,0
49057201302,Utah,Weber County,1,1
49057201400,Utah,Weber County,1,1
49057201500,Utah,Weber County,1,1
49057201600,Utah,Weber County,1,1
49057201700,Utah,Weber County,1,1
49057201800,Utah,Weber County,1,0
49057201900,Utah,Weber County,1,1
49057202000,Utah,Weber County,1,1
49057210100,Utah,Weber County,0,0
49057210201,Utah,Weber County,1,1
49057210203,Utah,Weber County,1,1
49057210204,Utah,Weber County,1,1
49057210302,Utah,Weber County,1,1
49057210303,Utah,Weber County,1,1
49057210304,Utah,Weber County,1,1
49057210402,Utah,Weber County,1,1
49057210403,Utah,Weber County,1,1
49057210404,Utah,Weber County,0,0
49057210504,Utah,Weber County,1,1
49057210505,Utah,Weber County,0,0
49057210506,Utah,Weber County,1,1
49057210508,Utah,Weber County,1,0
49057210509,Utah,Weber County,1,1
49057210510,Utah,Weber County,1,1
49057210511,Utah,Weber County,1,1
49057210512,Utah,Weber County,1,1
49057210600,Utah,Weber County,1,1
49057210701,Utah,Weber County,1,1
49057210703,Utah,Weber County,1,1
49057210704,Utah,Weber County,1,1
49057210800,Utah,Weber County,1,1
49057210900,Utah,Weber County,1,1
49057211000,Utah,Weber County,1,1
49057211100,Utah,Weber County,1,1
49057211201,Utah,Weber County,1,1
49057211202,Utah,Weber County,1,1
